time_block,EXPECTED_TIME_TO_SERVE_COMPOSITION,REAL_TIME_TO_SERVE_COMPOSITION,CLIENT_AGENT,SERVICES_ENGAGED
"2013-09-18 15_50_11_015","59511","59719","11",";3;9"
"2013-09-18 15_50_53_907","62573","100668","14",";7;9"
"2013-09-18 15_51_36_808","69479","141536","16",";8;9"
"2013-09-18 15_52_19_704","76133","176447","18",";3;9"
"2013-09-18 15_53_02_607","71799","225348","15",";4;9"
"2013-09-18 15_53_45_510","73912","266237","13",";5;9"
"2013-09-18 15_54_28_403","82257","303213","19",";7;9"
"2013-09-18 15_55_11_309","74387","350118","17",";10;9"
"2013-09-18 15_55_54_209","92755","386965","12",";3;9"
"2013-09-18 15_56_37_110","96069","427904","20",";8;9"
