time_block,EXPECTED_TIME_TO_SERVE_COMPOSITION,REAL_TIME_TO_SERVE_COMPOSITION,CLIENT_AGENT,SERVICES_ENGAGED
"2013-08-29 16_37_46","53554","53648","425",";36;9"
"2013-08-29 16_37_47","47806","52383","243",";97;65"
"2013-08-29 16_37_58","48190","59318","446",";81;96"
"2013-08-29 16_37_59","50961","60535","263",";67;80"
"2013-08-29 16_38_04","58232","58385","725",";100;88"
"2013-08-29 16_38_04","67028","69441","138",";55;63"
"2013-08-29 16_38_04","66161","67184","508",";33;73"
"2013-08-29 16_38_06","65413","67884","629",";78;57"
"2013-08-29 16_38_07","73796","74193","1020",";16;85"
"2013-08-29 16_38_16","68350","73365","863",";95;11"
"2013-08-29 16_38_17","80325","80408","216",";86;94"
"2013-08-29 16_38_17","65717","81870","151",";16;21"
"2013-08-29 16_38_21","78401","78545","795",";98;40"
"2013-08-29 16_38_22","77858","78780","420",";93;66"
"2013-08-29 16_38_23","48945","84531","1070",";49;65"
"2013-08-29 16_38_29","59485","95130","912",";68;9"
"2013-08-29 16_38_32","54548","93700","190",";49;26"
"2013-08-29 16_38_33","74207","88767","541",";3;53"
"2013-08-29 16_38_33","51175","90916","236",";60;96"
"2013-08-29 16_38_35","52838","86593","894",";56;80"
"2013-08-29 16_38_39","74161","93207","152",";100;13"
"2013-08-29 16_38_42","56870","93861","791",";35;88"
"2013-08-29 16_38_43","49962","56015","425",";46;76"
"2013-08-29 16_38_54","66161","115091","374",";33;73"
"2013-08-29 16_38_55","63320","111136","692",";3;23"
"2013-08-29 16_38_58","57766","106185","954",";56;58"
"2013-08-29 16_38_59","52186","117987","407",";51;65"
"2013-08-29 16_38_59","73139","113350","179",";60;2"
"2013-08-29 16_39_09","47105","130734","1086",";97;96"
"2013-08-29 16_39_10","92344","124490","542",";14;62"
"2013-08-29 16_39_11","48855","129622","341",";81;80"
"2013-08-29 16_39_11","53554","139360","509",";36;9"
"2013-08-29 16_39_17","64495","136669","244",";33;11"
"2013-08-29 16_39_21","59156","132203","306",";75;88"
"2013-08-29 16_39_22","54129","82040","446",";99;76"
"2013-08-29 16_39_26","66587","132096","1061",";52;84"
"2013-08-29 16_39_30","90343","145490","913",";14;53"
"2013-08-29 16_39_35","52532","157533","267",";3;65"
"2013-08-29 16_39_41","51148","60452","152",";46;64"
"2013-08-29 16_39_44","54464","148703","731",";37;96"
"2013-08-29 16_39_47","54281","152879","717",";35;80"
"2013-08-29 16_39_54","54785","179849","399",";97;9"
"2013-08-29 16_39_56","73795","171678","970",";3;2"
"2013-08-29 16_39_57","50632","98213","216",";46;11"
"2013-08-29 16_39_59","59156","170367","579",";75;88"
"2013-08-29 16_40_00","49962","132196","243",";46;76"
"2013-08-29 16_40_05","52179","54831","1086",";46;58"
"2013-08-29 16_40_11","48945","192455","485",";49;65"
"2013-08-29 16_40_18","74161","191469","605",";100;13"
"2013-08-29 16_40_19","56943","200325","558",";55;73"
"2013-08-29 16_40_19","56495","198369","622",";49;79"
"2013-08-29 16_40_19","48190","198343","457",";81;96"
"2013-08-29 16_40_21","59455","97525","791",";7;64"
"2013-08-29 16_40_22","50812","198471","250",";69;80"
"2013-08-29 16_40_25","69925","200482","502",";3;44"
"2013-08-29 16_40_28","73551","202514","277",";60;53"
"2013-08-29 16_40_34","55904","203507","161",";69;61"
