time_block,EXPECTED_TIME_TO_SERVE_COMPOSITION,REAL_TIME_TO_SERVE_COMPOSITION,CLIENT_AGENT,SERVICES_ENGAGED
"2013-08-22 14_27_52","595","710","69",";3;9"
"2013-08-22 14_27_53","595","1207","61",";3;9"
"2013-08-22 14_27_53","595","1708","71",";3;9"
"2013-08-22 14_27_54","595","2207","91",";3;9"
"2013-08-22 14_27_54","595","2701","78",";3;9"
"2013-08-22 14_27_55","637","801","69",";7;1"
"2013-08-22 14_27_55","595","3200","27",";3;9"
"2013-08-22 14_27_55","637","801","61",";7;1"
"2013-08-22 14_27_55","595","3714","101",";3;9"
"2013-08-22 14_27_56","637","801","71",";7;1"
"2013-08-22 14_27_56","595","4199","57",";3;9"
"2013-08-22 14_27_56","637","802","91",";7;1"
"2013-08-22 14_27_56","595","4706","86",";3;9"
"2013-08-22 14_27_57","637","798","78",";7;1"
"2013-08-22 14_27_57","595","5202","72",";3;9"
"2013-08-22 14_27_57","637","1001","69",";7;1"
"2013-08-22 14_27_57","595","5707","100",";3;9"
"2013-08-22 14_27_58","637","1299","27",";7;1"
"2013-08-22 14_27_58","595","6201","23",";3;9"
"2013-08-22 14_27_58","637","1503","61",";7;1"
"2013-08-22 14_27_58","595","6703","94",";3;9"
"2013-08-22 14_27_59","637","1801","101",";7;1"
"2013-08-22 14_27_59","747","830","86",";7;6"
"2013-08-22 14_27_59","595","7199","64",";3;9"
"2013-08-22 14_27_59","637","2001","71",";7;1"
"2013-08-22 14_27_59","747","1124","78",";7;6"
"2013-08-22 14_27_59","595","7699","46",";3;9"
"2013-08-22 14_28_00","637","2299","57",";7;1"
"2013-08-22 14_28_00","595","8201","95",";3;9"
"2013-08-22 14_28_00","747","1523","72",";7;6"
"2013-08-22 14_28_00","637","2502","91",";7;1"
"2013-08-22 14_28_00","595","8700","42",";3;9"
"2013-08-22 14_28_01","747","1828","69",";7;6"
"2013-08-22 14_28_01","769","800","94",";7;2"
"2013-08-22 14_28_01","595","9201","106",";3;9"
"2013-08-22 14_28_01","747","2229","100",";7;6"
"2013-08-22 14_28_01","769","1101","101",";7;2"
"2013-08-22 14_28_01","595","9699","99",";3;9"
"2013-08-22 14_28_02","747","2523","27",";7;6"
"2013-08-22 14_28_02","769","1700","86",";7;2"
"2013-08-22 14_28_02","595","10197","20",";3;9"
"2013-08-22 14_28_02","637","798","57",";7;1"
"2013-08-22 14_28_02","747","2924","23",";7;6"
"2013-08-22 14_28_02","595","10698","70",";3;9"
